Name,Title,Place publication,Publisher,Date of publication,33304C29
"Orwell, George",England your England,London,Penguin,2017,C9E7F23C
"Orwell, George",England your England,London,Penguin,2017,C9E7F23C
"Orwell, George",The road to Wigan Pier,London,Penguin,2014,FD36BF88
"Orwell, George",The road to Wigan Pier,London,Harvill Secker,2018,EDAB058E
"Orwell, George",The road to Wigan Pier,London,HarperCollins,2021,48199EF0
"Orwell, George",The road to Wigan Pier,London,HarperCollins,2021,48199EF0
"Orwell, George",The road to Wigan Pier,Oxford,Oxford University Press,2021,02570761
"Orwell, George",The road to Wigan Pier,London,Arcturus,2021,C0395F2F
"Orwell, George",The road to Wigan Pier,London,HarperCollins,2021,48199EF0
"Orwell, George",The road to Wigan Pier,London,Macmillan,2021,21B64D4A
"Orwell, George",The road to Wigan Pier,London,Arcturus Digital,2021,7C988A69
"Orwell, George",The road to Wigan Pier,London,Penguin,2014,FD36BF88
"Orwell, George","Orwell and politics : Animal Farm in the context of essays, reviews and letters selected from The complete works of George Orwell",London,Penguin,2020,90B4415A
"Orwell, George",Fascism and democracy,London,Penguin,2020,994A34A4
"Orwell, George",Fascism and democracy,London,Penguin,2020,994A34A4
"Orwell, George",Notes on nationalism,London,Penguin,2018,1DBB2F9F
"Orwell, George",Orwell on freedom,London,Harvill Secker,2018,5F67CF9C
"Orwell, George",Orwell on freedom,London,Vintage Digital,2018,554FEE2A
"Orwell, George",The lion and the unicorn,London,Penguin,2018,14C35761
"Orwell, George",The lion and the unicorn : socialism and the English genius,London,Penguin,2018,E53E1270
"Armstrong, Stephen",The road to Wigan Pier revisited,London,Constable,2012,65639792
"Orwell, George",Down and out in Paris and London,London,Harvill Secker,2020,A95D9F85
"Orwell, George",Down and out in Paris and London,London,Harper,2021,CC767705
"Orwell, George",Down and out in Paris and London,London,Harper,2021,CC767705
"Orwell, George",Down and out in Paris and London,Oxford,Oxford University Press,2021,9FFB30AE
"Orwell, George",Down and out in Paris and London,London,Arcturus,2021,22A8A2A6
"Orwell, George",Down and out in Paris and London,London,Vintage Classics,2021,2F6A351B
"Orwell, George",Down and out in Paris and London,London,Harper,2021,CC767705
"Orwell, George",Down and out in Paris and London,London,Macmillan,2021,75995667
"Orwell, George",Politics and the English language,London,Renard Press,2021,0F55C3FD
"Orwell, George",Politics and the English language,London,Renard Press,2021,0F55C3FD
"Orwell, George",Animal farm,Oxford,Oxford University Press,2021,AB950817
"Orwell, George",Nineteen eighty-four,London,Penguin,2020,DE7D013C
"Orwell, George",Animal farm,London,Penguin,2020,2D420AE8
"Orwell, George",Animal farm : the graphic novel,London,Penguin,2019,27CAF490
"Orwell, George",Animal farm : the graphic novel,London,Penguin,2019,27CAF490
"Orwell, George",Animal farm : the graphic novel,London,Penguin,2020,10DE42A0
"Wilson, SeÃ¡n Michael","The illustrated Orwell - Such, such were the joys",Oxford,New Internationalist,2021,C4AD170A
"Orwell, George",Nineteen eighty-four,London,Penguin,2021,206DBDAE
"Orwell, George",The art of Donald McGill,,Greaves & Thomas,2009,F5B31861
"Ervin, Andrew",Burning down George Orwell's house,New York,Soho,2015,EF188C6D
"Ervin, Andrew",Burning down George Orwell's house,New York,Soho,2016,486CD42C
"Gupta, Ashis",Animal farm 2017 : an adaptation of George Orwell's classic dystopian novel,Calgary,Bayeux Arts,2018,CC1B742D
"Goldstein, Philip","Communities of cultural value : reception study, political differences, and literary history","Lanham, Maryland ; Lexington",,2001,F69BAD70
"BiegajÅ‚o, BartÅ‚omiej",Totalitarian (in) experience in literary works and their translations : between east and west,Newcastle upon Tyne,Cambridge Scholars,2018,C487518E
"Icke, Robert",1984,London,Oberon,2013,5DDD092D
"Holman, Robert","Rafts and dreams : &, Outside whale",London,Bloomsbury,2014,BAFC8952
"Icke, Robert",1984,London,Oberon,2014,7E552554
"Icke, Robert",1984,London,Oberon,2014,7E552554
"Orwell, George",Politics vs. literature,London,Renard Press,2021,55821061
"Orwell, George",Politics vs. literature,London,Renard Press,2021,55821061
"Smith, David N.",George Orwell illustrated,Chicago,Haymarket,2018,75E97440
"Orwell, George",Nineteen eighty-four,London,Penguin,2013,A38BFA08
"Orwell, George",Down and out in Paris and London,London,Penguin,2013,47034F33
"Colls, Robert",George Orwell : English rebel,Oxford,Oxford University Press,2013,8D4315EC
"Orwell, George","Such, such were the joys",London,Penguin,2014,8ED3A1BF
"Orwell, George",Burmese days,London,Penguin,2014,67C35E4C
"Orwell, George",Keep the aspidistra flying,London,Penguin,2014,AD51EA13
"Orwell, George",Keep the aspidistra flying,London,Penguin,2014,AD51EA13
"Al-Jubouri, Firas A. J. (Firas Adnan Jabbar)",Milestones on the road to dystopia : interpreting George Orwell's self-division in an era of 'force and fraud',Newcastle upon Tyne,Cambridge Scholars,2014,7909EED2
"Waldron, Carmel",Animal farm : George Orwell,Oxford,Oxford University Press,2014,A55AE83B
"Duffy, Mike",Animal farm,London,Hodder Education,2015,8DB8036D
"Orwell, George",Animal farm,London,Penguin,2015,F4C18CFF
"Colls, Robert",George Orwell : English rebel,Oxford,Oxford University Press,2015,8456B4CA
"Opalinska, Wanda",Animal farm : George Orwell,"Harlow, Essex ; London",Pearson ; York,2015,F02B296A
"Radford, Kevin",Animal farm for GCSE,London,Hodder Education,2016,CAE15214
"Saunders, Loraine",The unsung artistry of George Orwell : the novels from Burmese days to Nineteen eighty-four,London,Routledge,2016,B91BD279
"Sutherland, John",Orwell's nose : a pathological biography,London,Reaktion,2016,8102D80B
"Radford, Kevin",Animal farm for GCSE,London,Hodder Education,2016,CAE15214
"Brennan, Michael G.",George Orwell and religion,London,Bloomsbury,2016,5C1184F2
"Sutherland, John",Orwell's nose : a biography,London,Reaktion,2016,0CF2FC55
"Burns, Paul",Animal farm : AQA GCSE English literature,London,Collins,2017,9FBF6486
"Sutherland, John",Orwell's nose : a pathological biography,London,Reaktion,2017,0EE65E7C
"Opalinska, Wanda",Animal farm : George Orwell,Harlow,Pearson,2015,7B9648B9
"Rodden, John",George Orwell : the politics of literary reputation,London,Routledge,2017,A15F2CC5
"Williams, Kristian",Between the bullet and the lie : essays on Orwell,"Chico, California",AK Press,2017,B11459C7
"Orwell, George",Nineteen eighty-four,London,Vintage,2018,D2E446FE
"Orwell, George",A life in letter and diaries,London,Folio Society,2017,6CC39757
"Newsinger, John",Hope lies in the proles : George Orwell and the left,London,PlutoPress,2018,3FA5CE0B
"Crook, Tim",George Orwell on the radio : his works in sound drama and documentary,London,Routledge,2018,0BF01A50
"Ostrom, Hans A.",Orwell's 'politics and the English language' in the age of pseudocracy,London,Routledge,2018,DD651136
"Ostrom, Hans A.",Orwell's 'politics and the English language' in the age of pseudocracy,London,Routledge,2018,DD651136
"Crick, Bernard",George Orwell : a life,London,Harvill Secker,2018,EDFFDE93
"Orwell, George",Nineteen eighty-four,London,Penguin,2018,826EDF6A
"Orwell, George",Animal farm,London,Penguin,2018,6EFC4192
"Newsinger, John",Hope lies in the proles : George Orwell and the left,London,PlutoPress,2018,3FA5CE0B
"Crick, Bernard",George Orwell : a life,London,Vintage Digital,2018,F4E3A460
"Orwell, George",Burmese days,London,Harvill Secker,2018,652CEC8C
"Orwell, George",Keep the aspidistra flying,London,Harvill Secker,2018,25D1E5B2
"Orwell, George",Coming up for air,London,Harvill Secker,2018,31798910
"Orwell, George",Animal farm,London,Harvill Secker,2018,E8264318
"Orwell, George",Nineteen eighty-four,London,Harvill Secker,2018,6A4028C0
"Orwell, George",A clergyman's daughter,London,Harvill Secker,2018,EAADF900
"Laursen, Eric",The duty to stand aside : Nineteen eighty-four and the wartime quarrel of George Orwell and Alex Comfort,Edinburgh,AK Press,2018,D0BB6FCD
"Williams, Ian, Political scientist",Political and cultural perceptions of George Orwell : British and American views,New York,Palgrave Macmillan,2017,41BC8037
"KalelioÄŸlu, Murat",A literary semiotics approach to the universe of meaning in George Orwell's 1984 narrative,Newcastle upon Tyne,Cambridge Scholars,2019,D7913101
"KalelioÄŸlu, Murat",A literary semiotics approach to the semantic universe of George Orwell's Nineteen Eighty-Four,Newcastle upon Tyne,Cambridge Scholars,2019,6E7745F6
"Lynskey, Dorian",The ministry of truth : the biography of George Orwell's 1984,London,Picador,2019,ECBCAACA
"Rodden, John","Becoming George Orwell : life and letters, legend and legacy",Princeton,Princeton University Press,2019,95570194
"Lynskey, Dorian",The ministry of truth : the biography of George Orwell's 1984,London,Picador,2019,ECBCAACA
"Brindle, Keith",Animal farm,Harlow,Pearson,2019,E3CFDE0D
"Taylor, D. J. (David John)",On Nineteen eighty-four : a biography,New York,Abram Press,2019,4BCCAE26
"Bennett, Annie",Animal farm AQA English literature,London,Scholastic,2020,812C8444
"Bradford, Richard",Orwell : a man of our times,London,Bloomsbury,2020,7D1C0FAC
"Hanley, Christopher","George Orwell and education : learning, commitment and human dependency",London,Routledge,2019,751FF40E
"Hanley, Christopher","George Orwell and education : learning, commitment and human dependency",London,Routledge,2019,751FF40E
"Bradford, Richard",Orwell : a man of our times,London,Bloomsbury,2020,7D1C0FAC
"Dale, John",If George Orwell were alive today : on Nineteen eighty-four and the thrust of Orwellian political satire,Melbourne,Arden,2020,C5AE262C
"Lynskey, Dorian",The ministry of truth : a biography of George Orwell's 1984,London,Picador,2021,43F8FF17
"Orwell, George",Animal farm,London,Harvill Secker,2020,0D4A6311
"Orwell, George",Nineteen eighty-four,London,Harvill Secker,2020,C627FA3A
"Orwell, George","Orwell and the dispossessed : Down and out in Paris and London in the context of essays, reviews and letters selected from The Complete Works of George Orwell",London,Penguin,2020,378283BC
"Durant, Richard",Animal farm,London,Scholastic,2020,68B14D82
"Orwell, George",Animal farm,London,William Collins,2021,C6501082
"Orwell, George",1984,London,William Collins,2021,3E4FF1E2
"Orwell, George",Nineteen eighty-four,London,William Collins,2021,9FD8D16D
"Orwell, George",Animal farm,London,William Collins,2021,C6501082
"Orwell, George",Burmese days,London,William Collins,2021,2B7CC912
"Orwell, George",Burmese days,Oxford,Oxford University Press,2021,A5E08C71
"Orwell, George",Nineteen eighty-four,London,Penguin,2021,206DBDAE
"Orwell, George",Animal farm : a fairy story,London,Penguin,2021,F2D9C606
"Orwell, George",Nineteen eighty-four,London,Faber & Faber,2021,ED25E4F0
"Orwell, George",1984,London,Scholastic,2021,C61BA24B
"Orwell, George",Animal farm,London,Scholastic,2021,940481BF
"Orwell, George",Burmese days,London,Arcturus,2021,15F7183F
"Orwell, George",A clergyman's daughter,London,Arcturus,2021,B5BAD6F5
"Orwell, George",Keep the aspidistra flying,London,Arcturus,2021,080231FC
"Orwell, George",Nineteen eighty-four,London,Macmillan,2021,955016D5
"Orwell, George",Animal farm,London,Macmillan,2021,306F590C
"Orwell, George",Burmese days,London,Macmillan,2021,772B1D23
"Orwell, George",1984,London,Vintage Classics,2021,34F7F13B
"Orwell, George",Animal farm,London,Vintage Classics,2021,ABE639FC
"Orwell, George",1984,London,Arcturus,2021,EC812117
"Orwell, George",Animal farm,London,Arcturus,2021,E17B210A
"Orwell, George",Animal farm,London,William Collins,2021,C6501082
"Orwell, George",Burmese days,London,William Collins,2021,2B7CC912
"Orwell, George",Nineteen eighty-four,London,Faber & Faber,2021,ED25E4F0
"Orwell, George","Animal farm : and, Nineteen eight-four",London,William Collins,2021,85B965E1
"Orwell, George",Coming up for air,Oxford,Oxford University Press,2021,6292208D
"Orwell, George",Animal farm,Oxford,Oxford University Press,2021,AB950817
"Orwell, George",Nineteen eighty-four,Oxford,Oxford University Press,2021,73CBCF4C
"Orwell, George",Keep the aspidistra flying,Oxford,Oxford University Press,2021,7810545B
"Orwell, George",Animal farm,Edinburgh,Barrington Stoke,2021,B56B2B2E
"Orwell, George",Nineteen eighty-four,Ware,Wordsworth,2021,A526E956
"Orwell, George",Animal farm,Ware,Wordsworth,2021,BED84827
"Orwell, George",Nineteen eighty-four,Edinburgh,Polygon,2021,130A95FC
"Orwell, George",Nineteen eighty-four,Edinburgh,Polygon,2021,130A95FC
"Orwell, George",A clergyman's daughter,Oxford,Oxford University Press,2021,A01F030C
"Orwell, George",Animal farm,London,Faber & Faber,2021,1C3A82F9
"Orwell, George",Nineteen eighty-four,London,William Collins,2021,9FD8D16D
"Orwell, George",Animal farm,London,Faber & Faber,2021,1C3A82F9
"Orwell, George",Burmese days,London,William Collins,2021,2B7CC912
"Orwell, George",Animal farm,London,Flame Tree 451,2021,F1D87016
"Orwell, George",Nineteen eighty-four,London,Flame Tree 451,2021,5B453A5C
"Orwell, George",Animal farm : GCSE 9-1 set text student edition,London,Collins,2021,31709BDE
"Christin, Pierre",Orwell,London,SelfMadeHero,2021,CB349B46
"Orwell, George",A clergyman's daughter,London,Arcturus Digital,2021,3732E71A
"Orwell, George",1984,London,Arcturus Digital,2021,E3F61D76
"Orwell, George",Animal farm,London,Arcturus Digital,2021,EEDA2C71
"Orwell, George",Keep the aspidistra flying,London,Arcturus Digital,2021,5511FA99
"Orwell, George",Burmese days,London,Arcturus Digital,2021,92F638F0
"Shaw, Dom",Eric is awake,,Anonymous Press,2013,8848D678
"Glover, Dennis",The last man in Europe : a novel,"Carlton, Victoria",Black,2017,F13EE3A9
"Bissell, Norman",Barnhill,Edinburgh,Luath Press,2019,CF1E2AA9
"Bissell, Norman",Barnhill : a novel,Edinburgh,Luath Press,2020,B83E8E37
"Glover, Dennis",The last man in Europe,Edinburgh,Polygon,2020,03DA1D66
"Glover, Dennis",The last man in Europe : a novel,Edinburgh,Polygon,2020,394EB40E
"Chapman, Jake",1984.1,Falmouth,Urbanomic,2020,90095069
"Orwell, George",Unwelcome guerrilla : George Orwell and the New statesman : an anthology,London,New Statesman,1984,B2816A4B
"Orwell, George",Essays,London,Penguin,2014,20C477D7
"Orwell, George",George Orwell : essays,London,Penguin,2014,A86BF8EB
"Orwell, George",Shooting an elephant,London,Penguin,2021,0C2DCAA6
"Orwell, George",England your England,London,Pushkin,2021,3FC678AE
"Orwell, George",Why I write,London,Renard Press,2021,C5638A7D
"Orwell, George",The prevention of literature,London,Renard Press,2021,F76F3B29
"Orwell, George",Shooting an elephant,London,Penguin,2021,0C2DCAA6
"Orwell, George",Selected essays,Oxford,Oxford University Press,2021,6C3D6D2C
"Orwell, George",England your England,London,Pushkin,2021,3FC678AE
"Orwell, George",Inside the whale : on writers and writing,London,Pushkin,2021,4790F8EC
"Orwell, George",Down and out in Paris and London : The road to Wigan Pier,Ware,Wordsworth,2021,2321B350
"Orwell, George",Why I write,London,Renard Press,2021,C5638A7D
"Orwell, George",The prevention of literature,London,Renard Press,2021,F76F3B29
"Orwell, George",Politics and the English language,London,Penguin,2013,1C8C338A
"Orwell, George",Diaries,London,Harvill Secker,2020,32F60C9C
"Orwell, George",All propaganda is lies : 1941-1942,London,Secker,2015,8E43B065
"Orwell, George","I have tried to tell the truth, 1943-1944",London,Secker,2015,8E6AEA1B
"Orwell, George",Orwell on truth,London,Harvill Secker,2017,14B637FD
"Orwell, George",Orwell on truth,London,Vintage Digital,2017,3EB1BEE4
"Orwell, George",George Orwell visions of dystopia,London,Flame Tree Collections,2021,33A654ED
"Orwell, George",Seeing things as they are : selected journalism and other writings,London,Harvill Secker,2014,0E314EB5
"Orwell, George",I belong to the left : 1945,London,Secker,2015,D7A704D9
"Orwell, George",A kind of compulsion : 1903-1936,London,Secker,2015,5C180486
"Orwell, George","Facing unpleasant facts, 1937-1939",London,Secker,2015,93285F2F
"Stewart, Anthony","George Orwell, doubleness and the value of decency",London,Routledge,2015,13144F53
"Woloch, Alex",Or Orwell : writing and democratic socialism,"Cambridge, Massachusetts",Harvard University,2016,064F0853
"Orwell, George",Seeing things as they are : selected journalism and other writings,London,Penguin,2016,6FFBFD3A
"Orwell, George",Seeing things as they are : selected journalism and other writings,London,Penguin,2016,6FFBFD3A
"Orwell, George",Unwelcome guerrilla : George Orwell and the New statesman : an anthology,London,New Statesman,1984,B2816A4B
"Bounds, Philip",Orwell and Marxism : the political and cultural thinking of George Orwell,London,I.B. Tauris,2016,C8D54762
"Brennan, Michael G.",George Orwell and religion,London,Bloomsbury,2017,C84857CE
"Williams, Ian",Political and cultural perceptions of George Orwell : British and American views,Basingstoke,Palgrave Macmillan,2017,BDA2F937
"Orwell, George",A life in letters,London,Penguin,2011,3FBE5D1D
"Dwan, David","Liberty, equality, and humbug : Orwell's political ideals",Oxford,Oxford University Press,2018,E575CF38
"Dwan, David","Liberty, equality, and humbug : Orwell's political ideals",Oxford,Oxford University Press,2018,E575CF38
"Connelly, Mark",George Orwell : a literary companion,"Jefferson, North Carolina",McFarland,2018,BA070ED4
"Ryan, David","George Orwell on screen : adaptations, documentaries and docudramas on film and television","Jefferson, North Carolina",McFarland,2018,9C5904FB
"Ingle, Stephen",Orwell reconsidered,London,Routledge,2019,84627880
"Ingle, Stephen",Orwell reconsidered,London,Routledge,2019,84627880
"Topp, Sylvia",Eileen : the making of George Orwell,London,Unbound,2020,10CF201B
"Keeble, Richard",Journalism beyond Orwell : a collection of essays,London,Routledge,2020,1603D8B3
"Keeble, Richard",Journalism beyond Orwell : a collection of essays,London,Routledge,2020,1603D8B3
"Topp, Sylvia",Eileen : the making of George Orwell,London,Unbound,2021,8DE38A10
"Orwell, George",Down and out in Paris and London,London,Harvill Secker,2018,9DC9A861
"Ricks, Thomas E.",Churchill and Orwell : the fight for freedom,New York,Penguin,2017,1771E2C7
"Ricks, Thomas E.",Churchill & Orwell : the fight for freedom,London,Duckworth Overlook,2017,C1767855
"Ricks, Thomas E.",Churchill and Orwell : the fight for freedom,London,Gerald Duckworth,2017,ACB84926
"Ricks, Thomas E.",Churchill and Orwell : the fight for freedom,London,Duckworth Overlook,2018,EB254CEC
"Orwell, George",Orwell's England,London,Penguin,2020,BE4DDA96
"Orwell, George",Orwell and England : selected essays,London,Macmillan,2021,282617B8
"Hall, Christopher","'In Spain with Orwell' : George Orwell and the Independent Labour Party volunteers in the Spanish Civil War, 1936-1939",Perth,Tippermuir,2013,AE72BDDB
"Orwell, George",Homage to Catalonia,London,Viking,2013,FFD4F565
"Orwell, George",Homage to Catalonia,London,Penguin,2003,A510125A
"Orwell, George",Homage to Catalonia,London,Harvill Secker,2018,126D1761
"Orwell, George","Orwell in Spain : the full text of Homage to Catalonia with associated articles, reviews and letters from The complete works of George Orwell",London,Penguin,2020,4E5313A3
"Orwell, George",Homage to Catalonia,London,Harper,2021,99FF40E0
"Orwell, George",Homage to Catalonia,Oxford,Oxford University Press,2021,E3CAB2D8
"Orwell, George",Homage to Catalonia,London,Vintage Classics,2021,C250CDD2
"Orwell, George",Homage to Catalonia,London,Arcturus,2021,0B794A77
"Orwell, George",Homage to Catalonia,London,Harper,2021,99FF40E0
"Orwell, George",Homage to Catalonia,London,Harper,2021,99FF40E0
"Orwell, George",Homage to Catalonia,London,Macmillan,2021,7F4F24D6
"Orwell, George",Homage to Catalonia,London,Arcturus Digital,2021,0A6B2EF8
"Lavoie, FrÃ©dÃ©rick",Orwell in Cuba : how 1984 came to be published in Castro's twilight,"Vancouver, British Columbia",Talonbooks,2020,1EEAE95E
